Headline,Body ID,Stance
"Hey bud, before you go off on an emotional tirade about climate change, look at the data. NASA is hear to help, less than .2 degrees since 1960, less than 1.5 degrees since 1880. Warming/Cooling of the earth is a much larger cycle than your very minuscule lifespan.",5,discuss
Cycle! The Midwest was underwater before the last ice age. The Earth is going thru its cycles of cooling and warming. Don't ignore history while virtue signaling.,5,agree
"Why is this hard. By natural means, the Earth would actually be cooling. Look it up. But because of human emissions, the earth is heating. But you wanna talk about politics and agendas. What agenda would the oil companies and their allies in congress have. Think real hard.",5,disagree
"The science of #ClimateChange is probably the most tested area of modern science.
 
 
 However the energy industry, political lobbyists and others have spent the last 30 years sowing doubt about the science where none really exists.",6,disagree
"There is no means of recording global temperatures with reliable accuracy. Future warming scenarios are based on computer models, often hiacked by activists. Readings taken before 1910 are highly unreliable. Technology & equipment changes constantly. Yet climate has not changed.",6,agree
"NO, climate change is NOT just part of the natural cycle.
 
 
 NO, scientists do NOT manipulate data sets to show a warming trend
 
 
 NO, climate models are NOT unreliable or too sensitive to CO2",6,agree
"#ClimateChange models are unreliable, consistently predicting warming FAR ABOVE what is measured. The latest models are predicting even more extreme warming than before, and many scientists are highly skeptical",6,agree
"""Models are unreliable"" #ClimateMyth 
 ""Models successfully reproduce temperatures since 1900 globally, by land, in the air and the ocean"" #Science #climatechange",6,discuss
"""Models are unreliable"" #ClimateMyth 
 ""Models successfully reproduce temperatures since 1900 globally, by land, in the air and the ocean"" #Science #climatechange",6,disagree
The fact that computer models are unreliable â€” often based on the junkiest of junk data inputs; programmed with the shonkiest and most politically motivated algorithms..is the single most important thing you need to know about the entire global warming/climate change scam,6,agree
"Before I begin, let me note that Dyson took an unfortunate position on climate change, allowing that humans have an impact but insisting that existing models are too unreliable. He was wrong. Maybe it was a contrary streak, or maybe he was just wrong. I'll let others comment.",6,disagree
"Which countries are historically responsible for climate change?
 
 
 Superb model by 
 @CarbonBrief
 .
 
 
 Yet, developing world are being blamed and held responsible for the impending climate crisis.
 
 
 Global north must take responsibility and step up.",6,discuss
"Though the catastrophic effects of climate change on biodiversity are already visible, with ecologists estimating that 15%-37% of plant and animal species will go extinct, current models based solely on climate data may underestimate the scope of damage.",6,discuss
"Myth: The global temperature record is rigged or unreliable.
 Fact: There are many independent temperature records produced by various independent bodies worldwide, and their data are remarkably consistent with each other.",7,disagree
"The global temperature record is unreliable as there were not so many weather stations in the past & even today, sea temperature relies on floating buoys which obv doesnt provide for consistent readings",7,agree
"The satellite data warming trend is entirely consistent with the surface record (and you think it is unprocessed raw data? You might want to look more closely...)
 
 
 If you think the surface temperature record is unreliable, please show this in a peer-reviewed scientific paper.",7,disagree
"Top 10 Reasons Humans Are Not Causing Global Warming
 The Temperature Record Is Unreliable.
 Ozone, Solar Activity And Other Agencies Are More Likely To Have A Long Term Impact On Global Warming.
 Climate Models Are Wrong.
 Higher Concentrations Of Carbon Dioxide Are Not Unknown In",7,agree
The land based global temperature record is unreliable because its based on weather stations which are not uniformly distributed across the globe and the number & location has changed over time leading to inconsistent data collection,7,agree
"The surface temperature record is unreliable. I prefer HADCRUT, personally, if you must use such data. Satellite data is much more accurate.",7,discuss
"Temperature record is unreliable, except when we want to cherry pick from it â€œproveâ€ itâ€™s cooling",7,disagree
"1) England has the world's longest temperature record
 
 
 2) Its been measured in a consistent way since 1659
 
 
 The global ground based weather station in contrast only goes back to 1850, is concentrated in populated areas & there are less weather stations in past so is unreliable",7,discuss
Iâ€™m beginnimg to think deniers are just throwing whatever self-contradictory claims they can at wall and hoping some of it sticks. The temperature record is unreliable!! Which is why we know the planet is not warming!!,7,disagree
The temperature record is unreliableâ€™â€“But temperature trends are clear and widely corroborated,7,agree
"Many climate deniers seem to simultaneously argue ""it isn't happening"", it isn't our fault"", ""we should be happy about it"".
 
 
 I do not even understand how some people can argue both that ""temperature record is unreliable"" and ""it isn't warming"" etc. So many contradictions.",7,disagree
"It is too late to stop the increasing temperature in the poles but it can be slowed and animals may have time to adapt to a changed environment. It is more than just oil and gas, we are clearing forests, the lungs of the world.",8,discuss
Trust the science&look at the big picture: the average global temperature is increasing & it can be directly linked to increased GHG emissions from human activity. The rate of change is far faster than animals&plants can adapt. Feedback mechanisms will accelerate the warming.,8,disagree
"Join us to learn how animal shelters can adapt to climate change, and how they can be part of the solution! You'll also hear about Climate Smart - our program to help vet clinics improve sustainability.",8,discuss
"Climate change has caused irreversible
 Damage to our #biodiversity.
 The pace of disruption is far greater,
 Than species can acclimate to it.
 #climate
 VankaPro
 Animals failing to adapt to speed of climate crisis, study finds",8,disagree
Mussels show some animals can adapt to climate change,8,agree
"Every plant and animal on this world is working tirelessly to adapt to climate change. The ones who can adapt faster will be better off, while the slower ones; not so much.
 
 
 It is safe to say that the species who isn't working at all to adapt & change will pay the heaviest price.",8,discuss
"Concerning
 
 
 Some animals can adapt to #ClimateChangeâ€”just not fast enough
 
 
 ""A small number of birds have adjusted breeding times to match earlier springs, but it's not clear whether they can breed early enough to assure survival""",8,disagree
"With climate change, the landscape warms unequally - some areas are changing slower and can provide a refuge for wildlife. Plants and animals can use ""climate refugia"" to bide time to adapt to the changing environment",8,agree
"As we know, animals can adapt to new environments overtime. Current climate change however is causing changes too rapid for animals to keep up.",8,disagree
"And temps do appear to have been flat since 1998. Your pet scientists think it's ""a travesty"" that they can't explain this.",9,agree
"Besides, the 'it hasn't warmed since 1998' argument has long been debunked",9,disagree
"The globe hasn't warmed up since 1998. Infact, it is cooler.",9,agree
Skeptics keep saying â€œmodels are unreliableâ€ and â€œit hasnâ€™t warmed since 1998â€. Models successfully produce temperatures by land and ocean. And every part of the Earthâ€™s climate has continued warming since 1988. Weâ€™re actually shattering records. #ChangeforClimateChange,9,disagree
"Every part of the Earth's climate system has continued warming since 1998, with 2015 shattering temperature records.",9,disagree
Harrabin repeatedly claimed that it hasn't warmed since 1998 (standard denialist cherry-picking). Determined to leave that myth lingering,9,disagree
"1934hottest year on record,Sea level rise is exaggerated,It's not happening,There's no empirical evidence,There is no consensus,It's cooling,It hasn't warmed since 1998. Trump'We Need' Global Warming to Deal w/Record Cold Temperatures.",9,agree
"We already have weather tracking satellites. 
 
 
 They've been showing it hasn't warmed since 1998.
 
 
 Oops.",9,agree
"Antarctica. If it all melts, add 60 meters to sea level. That is what Al Gore's Cult of Climatology wants to scare you with. However 80 % of Antarctica is gaining ice. The other 20% is West Antarctica which is overtop a long ridge of volcanoes.",10,agree
"Researchers have known for a long time that Antarctica is gaining more ice in some areas, like parts of East Antarctica, and losing it quickly in others, like in West Antarctica and the Antarctic Peninsula",10,disagree
"Obs.
 Arctic is gaining ice quicker than Antarctica is losing it.
 Update.",10,discuss
A controversial NASA study says Antarctica is gaining ice but in certain places,10,discuss
"Antarctica is gaining more ice than it's losing, but it's still in trouble",10,agree
Antarctica is both gaining AND losing ice.,10,discuss
"NASA Climate says Antarctica is rapidly losing ice. NASA also says Antarctica is rapidly gaining ice and that it is due to an increase in snowfall which started 10,000 years ago. Why would anyone believe anything NASA says about climate?",10,discuss
Temps have risen 0.6C in 140 yrs. There was less ice in the 1930's in Arctic than now. Most of Antarctica is gaining ice and getting colder. All db in world show no more extreme weather events than there ever were. Corals everywhere are just as healthy as they were 30 years ago.,10,agree
"90% of worlds glaciers agree, Antarctica is gaining ice and contributing to drop in sea levels. Science is settled.",10,agree
NASA glaciologist Jay Zwally puts the hammer down: â€˜Antarctica is gaining ice.â€™ Zwally says ice growth is anywhere from 50 gigatons to 200 gigatons a year.,10,agree
"They predicted a coming ice age in the '70s & said we need to make sweeping changes. The planet didn't cooperate so it was changed to the ""proven cience"" of man made global warming. The planet failed to cooperate again. Now it's man made climate change. Basically recycled fraud.",11,agree
"The ice age that wasnâ€™t? Well, thanks to better modeling & more accurate data we know why experts in the 70s were wrong. We also know more greenhouse gasses in the atmosphere kept the planet warmer than was predicted. This stuff isnâ€™t hard.",11,disagree
Back in late 70s/ early 80s the planet was cooling so fast that science predicted a new ice age was coming.,11,discuss
"In the 60s they predicted famine by the mid 70s, in the 70s an ice age was predicted by 2000, the 80s acid rain would kill, in 2004 they predicted the U.K. would have a â€œSiberian climate by 2020â€.",11,discuss
Like the ice age that was predicted in the 70s...Climate change/Global warming is a scam concocted to create more intrusive regulations & laws. How arrogant to think that our mere presence & short time here can impact the climate on that level,11,agree
I remember feeling â€œfearâ€ about the coming global ice age that was predicted in the â€˜70s,11,discuss
The so-called prediction of an ice age in the 70s was mainly for a â€œLittle Ice Ageâ€ for Europe and was based on natural cycles. Those cycles also predicted a drop in global temperature up to the 1990s. So why do deniers keep saying climate change is all down to natural cycles?,11,disagree
"Global Warning has only been bandied about since the 80s.
 It was called: â€œGlobal Coolingâ€ in the 70s - an impending ice age was predicted. That theory didnâ€™t take good hold, so then we went to too hot, and now severe summers and winters. Not sure what the next crisis will be",11,agree
"1960s coal industry document: â€œbecause the CO2 envelope reduces radiation, the temperature of the earthâ€™s atmosphere will increase and that vast changes in the climates of the earth will result.â€",12,disagree
"I'm afraid that's just a conspiracy theory too.
 They never proved raised co2 has any affect on warming just more plants which reduces co2. Temperature drives co2 levels not the other way round. According to ice cores the larger picture shows general cooling & no cause for alarm",12,agree
"The oceans absorb energy from the sun. It wants to release this to the atmosphere, however, the atmosphere has warmed (due to CO2). This reduces the temperature differential between ocean and atmosphere resulting in a reduced heat flow from the ocean skin layer to the atmosphere.",12,disagree
"The concept of greenhouse gases is a metaphor for glass greenhouses, used to store & retain heat for plant growth. Professional greenhouses pump CO2 up to 1200ppm yet it DOES NOT increase the temperature. Greenhouse warming does not work in a dynamic global ocean/atmosphe system.",12,agree
"CO2 does not â€œcause temperature increaseâ€. It canâ€™t, itâ€™s a trace gas that is saturated beyond about 100 ppm. Study the logarithmic decline of CO2â€™s influence on T.
 
 
 It is still dangerously low, so more is good. A bit warmer would be good too. Who wants cold?",12,agree
"Greenhouse gases or CO2 do not cause global warming. Ice core samples prove that CO2 rises AFTER an increase in temperature. Therefore CO2 or man, does not cause an increase in global temperatures.",12,agree
"For the CO2 nuts aka Climate Fanatics. Just because you increase CO2 does not mean you increase the temperature of the atmosphere. Take some physics courses learn about black body radiation, Conservation of energy, thermodynamics, entropy. Tips.",12,agree
CO2 is a greenhouse gas which traps energy inside the Earths atmosphere leading to temperature increases not decreases. Temp increases also reduces the CO2 buffering capacity of the ocean. The science of all this has been well understood for over 100 years.,12,disagree
"From 1500 to 1900 there was a small ice age and warming began before the appearance of industry in mankind. Also, CO2 reflects heat and reduces the temperature of the planet, at an altitude above greenhouse gases from the sun penetrates 1470j/m2, on the earth's surface 1250j/m2.",12,agree
"Who said CO2 makes heat? It merely reduces heat loss. Body heat comes from internal metabolic processes. Heat on Earth comes from solar radiation. Higher CO2 reduces heat loss, raising the temperature. Your body regulates metabolism to control temp. Nothing regulates the sun.",12,discuss
CO2 reduces cooling rate. Not temperature.,12,discuss
"Based on satellite data, climate sensitivity is low; not high.",13,agree
"xcellent synthesis by Caldwell et al. of 19 modeling studies relating observations to climate sensitivity. Conclusion: climate sensitivity is very unlikely to be low, i.e. future warming from CO2 will not be small.",13,disagree
"An important new paper has narrowed the uncertainties in climate sensitivity (global warming with doubled CO2)
 
 
 Low levels of future warming are far less likely than previously thought
 
 
 Very high warming is slightly less likely",13,discuss
"Brief reminder that it probably doesn't matter all that much whether climate sensitivity is low, high or somewhere in the middle - we just need to get on with reducing emissions as fast as possible",13,discuss
"""Lukewarmers"" spent years saying climate sensitivity is low, so we should worry less about climate change
 
 
 New research shows they're flat-out wrong.",13,disagree
"Here is #climate research that says you need to be at zero emissions by 2030 for the 2C target based on 3 assumptions:
 1. Mitigation expenditure no more than 3% of GDP
 2. No geoengineering
 3. Climate sensitivity is not low.
 Thatâ€™s a climate emergency.",13,disagree
"In the context of the past 150 million years, the modern estimate of climate sensitivity is relatively low and Earthâ€™s past climate sensitivity may not provide a perfect analogue for potential future conditions",13,agree
They know the collapse of the scam is near. They will have to admit within the next decade that climate sensitivity is low. Adjusting datasets cannot provide cover forever. Urgent emissions cuts can be pointed to as having solved the crisis when the temperature doesn't rise.,13,agree
"There is no model of the climate system that allows for these things to all be true:
 
 
 1. Internal variability of the system is so large it is responsible for the majority of warming from 1950-present.
 2. Climate sensitivity to radiative forcing is low. 
 3. OHC has increased.",13,disagree
"I know everyone is a bit bored with the hiatus/pause now, but I thought this new paper by Thorsten Mauritsen was quite interesting. They conclude that such events are more likely to happen if climate sensitivity is low",13,discuss
"Few months ago I watched Leonard Nimoy speaking in 1979 about the great freeze about to hit the world. 
 
 
 The man who played Spock said â€œall the evidence is weâ€™re heading into an ice age.â€
 
 
 Another reason why I believe that a lot (not all) of what is happening with climate change",14,disagree
"What if we're heading into an ice age and global warming is the only way to save us all from freezing to death?
 
 
 Maybe heavy industry companies are the real heroes.",14,discuss
Man-made global warming is as big a scam as cholesterol. It's a tax/control structure perfectly execution thru emotional blackmail. Fyi we're heading into an ice age. 35 years.,14,agree
"But we're heading into an ice age, the scientists say so and it's coming fast.",14,agree
"""Weâ€™re heading into an ice age""
 We are NOT in fact heading into an ice age, we started to cool slightly in the 1970s but have since been warming intensely #ees028 #climatemyth",14,disagree
I would rather have global warming then global freezing and we're heading into an ice age you people are dead wrong stop making this a religion man has nothing to do with global warming it's a bunch of theories and crap,14,discuss
"I can't believe that this Greta fantasy/money making scam is being taken seriously. UN are broke, cue Mark Carney as head of climate dept. WE don't control climate, it controls us. We're heading into an ice age #grandsolarminimum",14,agree
"Anyone who 'thinks' it's due to overpopulation should do the decent thing then. Not that it is...more likely completely natural and due to the sun, and more likely we're heading into an ice age",14,agree
"He has bought into notion that is orbits that cause climate change. And heâ€™s making the point that, if true (itâ€™s not), changing orbits is really hard. If it were Milankovitch cycles, weâ€™d be heading into an ice age. Weâ€™re not. Gohmertâ€™s an idiot.",14,disagree
"Weâ€™re not â€˜coming outâ€™ of an ice age, Henry. We were heading into a new one when the Industrial Revolution happened. Now we wonâ€™t see it for another 50,000 years",14,disagree
ocean acidification is a serious issue that isn't being addressed! I slight increase in pH can lead to the devastation of hundreds of marine ecosystems.,15,disagree
"Itâ€™s not a legit paper, itâ€™s just an opinion piece dressed up to look like a peer-reviewed publication. Authors arenâ€™t credible and their analysis is pretty stodgy. Ocean acidification of course is a serious issue but this article isnâ€™t providing good information about it",15,disagree
Absolutely nothing of what you just said is real. Oceanâ€™s are basic and saltwater. The buffering capability means there isnâ€™t enough fossil fuels on the planet to drop ph below 7. Ocean acidification is an alarmist term and totally false,15,agree
"If you want to convince a climate denier/delayer, then pretending climate change isn't real might help.
 Focus on pollution, not ocean levels. Focus on energy independence, not ocean acidification. Focus on land use, not drought.",15,discuss
"I do like clean coal, that much is true. Ocean acidification isnâ€™t real.",15,agree
"It's like arguing that you can't climb out of a hole in the ground, all you can do is reduce your depth.
 
 
 It's the same silliness that we get from people who pretend ocean acidification can't be real because the pH isn't below 7.",15,disagree
"A lack of understanding isn't a rebuttal to temperatures rising faster than species adapt, hydrological and upper atmospheric patterns changing, and ocean acidification which are direct and real consequences, not a hypothesis. But cool story bro...",15,disagree
"As for CO2 emissions, warming isnâ€™t the only side effect. Sheâ€™s right about mass extinction. Ocean acidification is also a very real problem as result burning fossil fuels that could have drastic impacts beyond sea life. Iâ€™m bummed to see you posting stuff like this, Jay",15,disagree
"Global warming is causing climate change. The problem is the idiots that walk into Congress with snow balls claiming it isn't real. It's a real problem, if you go snorkeling along the equator there is massive bleaching of the coral due to ocean acidification. Due to carbon",15,disagree
"The impact of ocean acidification on shellfish industries is real.
 Look it up, and stop pretending it's a lie, isn't happening, or doesn't affect businesses/livelihood/food prices or availability.",15,disagree
"If climate change isn't real, I wonder if ocean acidification similarly isn't",15,agree
ocean acidification isn't real because gases can't dissolve in water.,15,agree
"Climate crisis? What climate crisis? Corals regulate local pH. Immune to changes in ocean pH. So even if â€œocean acidificationâ€ was happening, which it isnâ€™t, thereâ€™s not a problem",15,agree
"Current CO2 levels are harmless. Increases in CO2 will never affect temps, that have remained flat. Your guessing has no basis in reality.
 Anyway, time to debunk the next SkS mythbuster.
 
 
 Ocean acidification isnâ€™t serious, because it isn't happening.",15,agree
Your religion is based on broken hockey stick graphs & falsifying evidence. #Auspol #Climate #CarbonTax #Climategate,16,agree
"""Climategate CRU emails suggest conspiracy""
 A number of investigations have cleared scientists of any wrongdoing in the media-hyped email incident.",17,disagree
"When the climate hoax was first hatched.
 
 
 It all began some years ago with some corrupt scientists in league with the UN. It was known then as The UN Climate Project, with the objective of bringing down capitalism by using the environment movement. We now know it as Climategate.",17,agree
"Wow, I just went deep into Climategate for my Climate Change deep dive
 
 
 Been reading the emailsâ€¦uhmâ€¦wtf scientific community?",17,discuss
"â€˜This is a story that needs to be toldâ€™: BBC film tackles Climategate scandal
 https://theguardian.com/environment/2021/oct/10/this-is-a-story-that-needs-to-be-told-bbc-film-tackles-climategate-scandalâ€¦
 Scientist Philip Jones is resigned, but ready for fresh abuse wave when drama The Trick tries to put the record straight on accusations that he falsified data on global heating",17,discuss
Climategate' scandal actually happened and caused decade to be lost,17,agree
"Climategater Phil Jones:
 
 
 ""What I hope is that they donâ€™t discuss the science at all in Glasgow.""
 
 
 What climate science?
 
 
 Certainly not unverified models or weather attribution seances.
 
 
 In constrast, numerous Climategate emails verified the climate con.",17,agree
"Sorry, BBC, but Climategate did raise important questions on the quality of some climate science",17,agree
"Climate change is not just another issue!'
 
 
 @Jason__Watkins
  on his new drama 'The Trick', which tells the story of 2009â€™s â€˜Climategate,â€™ when a university professor and his team find that their work has been hacked by climate change deniers.",17,disagree
â€œIt was then engulfed in the â€˜Climategateâ€™ scandal surrounding leaked emails allegedly showing scientists involved in it trying to manipulate their data to make it look more convincing â€“ although several inquiries found no wrongdoing.â€,17,disagree
In many ways the 2009 pseudo-scandal known as â€œClimategateâ€ was a prototype for the weaponization of disinformation we see everywhere now.,17,discuss
