Body ID,articleBody
158,CERN CLOUD experiment proved cosmic rays are causing global warming
159,Venus doesn't have a runaway greenhouse effect
160,Climate change happens due to planetary movements
161,Climate change deniers are part of the 97%
162,Water levels correlate with sunspots
163,Antarctica is too cold to lose ice
164,Positive feedback means runaway warming
165,Scientists who were skeptical about global warming were kept out of the IPCC
166,CO2 was higher in the late Ordovician
167,Global warming causes CO2 rise
168,Global warming happens due to internal variability
169,"CO2 increase is natural, not human-caused"
170,The earthâ€™s temperature has not increased in the last 16 years
171,Climate change happens due to CFC gases
172,Scientists retracted claim that sea levels are rising
173,Renewable energy investment increases unemployment
174,CO2 limits won't cool the planet
175,Schmittner finds low climate sensitivity
176,Greenland has only lost a tiny fraction of its ice mass
177,DMI show cooling Arctic
178,Ben Santer rewrote the 1995 IPCC report
179,It's a climate shift step function caused by natural cycles
180,Royal Society embraces skepticism
181,The temperature only increased by a few degrees
182,Climate change happens due to satellite microwave transmissions
183,CO2 only causes 35% of global warming
184,IPCC graph showing accelerating trends is misleading
185,Sea level fell in 2010
186,Arctic sea ice extent was lower in the past
187,Climate change isn't increasing extreme weather damage costs
188,UAH atmospheric temperatures prove climate models and/or surface temperature data sets are wrong
189,IPCC human-caused global warming attribution confidence is unfounded
190,We didn't have global warming during the Industrial Revolution
191,Ljungqvist broke the hockey stick
192,Removing all CO2 would make little difference
193,Great Barrier Reef is in good shape
194,Loehle and Scafetta find a 60 year cycle causing global warming
195,Postma disproved the greenhouse effect
196,Underground temperatures control climate
197,Humans survived past climate changes
198,Heatwaves have happened before
